Stars,Company,Words_Headline,Words_Comment
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,2.0,27.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,3.0,12.0
5,Octopus Energy Germany,2.0,5.0
1,Octopus Energy Germany,3.0,8.0
5,Octopus Energy Germany,2.0,27.0
3,Octopus Energy Germany,3.0,13.0
5,Octopus Energy Germany,4.0,5.0
5,Octopus Energy Germany,5.0,38.0
5,Octopus Energy Germany,4.0,13.0
5,Octopus Energy Germany,4.0,11.0
3,Octopus Energy Germany,5.0,10.0
5,Octopus Energy Germany,2.0,38.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,5.0,7.0
5,Octopus Energy Germany,1.0,25.0
5,Octopus Energy Germany,2.0,3.0
5,Octopus Energy Germany,7.0,16.0
2,Octopus Energy Germany,4.0,77.0
5,Octopus Energy Germany,3.0,30.0
5,Octopus Energy Germany,5.0,10.0
5,Octopus Energy Germany,2.0,49.0
5,Octopus Energy Germany,1.0,6.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,1.0,1.0
5,Octopus Energy Germany,3.0,27.0
4,Octopus Energy Germany,1.0,0.0
5,Octopus Energy Germany,2.0,16.0
5,Octopus Energy Germany,5.0,29.0
5,Octopus Energy Germany,6.0,18.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,5.0,5.0
5,Octopus Energy Germany,5.0,6.0
5,Octopus Energy Germany,1.0,14.0
5,Octopus Energy Germany,7.0,102.0
5,Octopus Energy Germany,3.0,74.0
4,Octopus Energy Germany,2.0,34.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,3.0,7.0
5,Octopus Energy Germany,4.0,6.0
3,Octopus Energy Germany,7.0,53.0
5,Octopus Energy Germany,3.0,7.0
5,Octopus Energy Germany,8.0,87.0
5,Octopus Energy Germany,2.0,13.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,5.0,8.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,2.0,7.0
5,Octopus Energy Germany,2.0,0.0
4,Octopus Energy Germany,4.0,5.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,2.0,7.0
4,Octopus Energy Germany,7.0,16.0
4,Octopus Energy Germany,5.0,40.0
5,Octopus Energy Germany,5.0,14.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,2.0,0.0
4,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,2.0,15.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,4.0,14.0
5,Octopus Energy Germany,8.0,23.0
5,Octopus Energy Germany,3.0,4.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,6.0,7.0
5,Octopus Energy Germany,1.0,3.0
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,4.0,10.0
4,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,5.0,15.0
5,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,1.0,5.0
5,Octopus Energy Germany,1.0,7.0
5,Octopus Energy Germany,4.0,46.0
5,Octopus Energy Germany,5.0,28.0
4,Octopus Energy Germany,7.0,11.0
5,Octopus Energy Germany,3.0,18.0
5,Octopus Energy Germany,1.0,27.0
5,Octopus Energy Germany,5.0,10.0
5,Octopus Energy Germany,6.0,0.0
5,Octopus Energy Germany,6.0,77.0
5,Octopus Energy Germany,3.0,3.0
5,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,2.0,9.0
5,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,2.0,8.0
5,Octopus Energy Germany,6.0,7.0
5,Octopus Energy Germany,2.0,9.0
5,Octopus Energy Germany,2.0,26.0
5,Octopus Energy Germany,2.0,12.0
5,Octopus Energy Germany,3.0,6.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,2.0,12.0
5,Octopus Energy Germany,3.0,10.0
5,Octopus Energy Germany,3.0,7.0
5,Octopus Energy Germany,2.0,2.0
5,Octopus Energy Germany,2.0,14.0
5,Octopus Energy Germany,4.0,8.0
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,8.0,27.0
5,Octopus Energy Germany,3.0,10.0
5,Octopus Energy Germany,6.0,8.0
5,Octopus Energy Germany,3.0,0.0
3,Octopus Energy Germany,5.0,25.0
5,Octopus Energy Germany,6.0,0.0
5,Octopus Energy Germany,6.0,16.0
5,Octopus Energy Germany,5.0,4.0
5,Octopus Energy Germany,2.0,0.0
4,Octopus Energy Germany,2.0,7.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,2.0,12.0
5,Octopus Energy Germany,5.0,7.0
5,Octopus Energy Germany,2.0,26.0
5,Octopus Energy Germany,5.0,15.0
5,Octopus Energy Germany,1.0,5.0
5,Octopus Energy Germany,4.0,20.0
5,Octopus Energy Germany,2.0,13.0
5,Octopus Energy Germany,4.0,12.0
5,Octopus Energy Germany,5.0,5.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,7.0,36.0
5,Octopus Energy Germany,3.0,14.0
1,Octopus Energy Germany,7.0,19.0
5,Octopus Energy Germany,1.0,3.0
5,Octopus Energy Germany,1.0,3.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,6.0,13.0
5,Octopus Energy Germany,5.0,7.0
5,Octopus Energy Germany,2.0,8.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,5.0,0.0
4,Octopus Energy Germany,4.0,10.0
5,Octopus Energy Germany,3.0,8.0
5,Octopus Energy Germany,5.0,13.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,6.0,45.0
5,Octopus Energy Germany,2.0,4.0
1,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,6.0,21.0
5,Octopus Energy Germany,4.0,12.0
5,Octopus Energy Germany,2.0,7.0
5,Octopus Energy Germany,7.0,24.0
5,Octopus Energy Germany,3.0,16.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,5.0,15.0
5,Octopus Energy Germany,4.0,5.0
5,Octopus Energy Germany,4.0,8.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,2.0,11.0
5,Octopus Energy Germany,5.0,44.0
5,Octopus Energy Germany,2.0,23.0
1,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,6.0,13.0
5,Octopus Energy Germany,6.0,36.0
5,Octopus Energy Germany,4.0,13.0
5,Octopus Energy Germany,2.0,9.0
5,Octopus Energy Germany,3.0,15.0
5,Octopus Energy Germany,5.0,27.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,2.0,25.0
5,Octopus Energy Germany,10.0,23.0
5,Octopus Energy Germany,4.0,102.0
5,Octopus Energy Germany,3.0,38.0
4,Octopus Energy Germany,4.0,26.0
5,Octopus Energy Germany,1.0,4.0
5,Octopus Energy Germany,3.0,7.0
5,Octopus Energy Germany,4.0,12.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,6.0,27.0
5,Octopus Energy Germany,7.0,33.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,1.0,7.0
5,Octopus Energy Germany,5.0,53.0
4,Octopus Energy Germany,1.0,3.0
5,Octopus Energy Germany,4.0,5.0
4,Octopus Energy Germany,2.0,40.0
5,Octopus Energy Germany,4.0,18.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,7.0,29.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,3.0,12.0
5,Octopus Energy Germany,4.0,5.0
5,Octopus Energy Germany,3.0,9.0
5,Octopus Energy Germany,4.0,13.0
5,Octopus Energy Germany,3.0,18.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,5.0,62.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,3.0,3.0
5,Octopus Energy Germany,3.0,6.0
5,Octopus Energy Germany,4.0,6.0
5,Octopus Energy Germany,6.0,15.0
5,Octopus Energy Germany,5.0,29.0
5,Octopus Energy Germany,2.0,31.0
5,Octopus Energy Germany,1.0,19.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,4.0,19.0
5,Octopus Energy Germany,5.0,11.0
5,Octopus Energy Germany,3.0,10.0
5,Octopus Energy Germany,3.0,8.0
5,Octopus Energy Germany,2.0,12.0
5,Octopus Energy Germany,2.0,11.0
5,Octopus Energy Germany,3.0,16.0
1,Octopus Energy Germany,3.0,20.0
5,Octopus Energy Germany,6.0,4.0
5,Octopus Energy Germany,5.0,34.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,6.0,18.0
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,7.0,53.0
5,Octopus Energy Germany,6.0,20.0
4,Octopus Energy Germany,6.0,10.0
5,Octopus Energy Germany,2.0,35.0
5,Octopus Energy Germany,4.0,15.0
5,Octopus Energy Germany,1.0,26.0
5,Octopus Energy Germany,1.0,12.0
5,Octopus Energy Germany,3.0,20.0
5,Octopus Energy Germany,4.0,27.0
5,Octopus Energy Germany,3.0,4.0
4,Octopus Energy Germany,3.0,11.0
5,Octopus Energy Germany,3.0,12.0
5,Octopus Energy Germany,5.0,6.0
3,Octopus Energy Germany,3.0,52.0
5,Octopus Energy Germany,6.0,39.0
5,Octopus Energy Germany,5.0,19.0
5,Octopus Energy Germany,5.0,24.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,3.0,16.0
5,Octopus Energy Germany,3.0,11.0
5,Octopus Energy Germany,1.0,5.0
5,Octopus Energy Germany,3.0,3.0
5,Octopus Energy Germany,6.0,12.0
5,Octopus Energy Germany,5.0,7.0
5,Octopus Energy Germany,2.0,28.0
5,Octopus Energy Germany,6.0,45.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,2.0,8.0
4,Octopus Energy Germany,2.0,3.0
4,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,4.0,5.0
5,Octopus Energy Germany,4.0,10.0
5,Octopus Energy Germany,2.0,17.0
5,Octopus Energy Germany,4.0,6.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,5.0,42.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,5.0,31.0
5,Octopus Energy Germany,1.0,7.0
5,Octopus Energy Germany,4.0,10.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,8.0,34.0
4,Octopus Energy Germany,5.0,36.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,3.0,6.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,4.0,7.0
4,Octopus Energy Germany,5.0,25.0
5,Octopus Energy Germany,4.0,9.0
5,Octopus Energy Germany,8.0,28.0
5,Octopus Energy Germany,3.0,57.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,5.0,0.0
2,Octopus Energy Germany,8.0,31.0
3,Octopus Energy Germany,5.0,12.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,3.0,8.0
5,Octopus Energy Germany,5.0,6.0
5,Octopus Energy Germany,5.0,10.0
5,Octopus Energy Germany,1.0,6.0
5,Octopus Energy Germany,4.0,18.0
5,Octopus Energy Germany,4.0,7.0
5,Octopus Energy Germany,7.0,12.0
5,Octopus Energy Germany,2.0,16.0
5,Octopus Energy Germany,4.0,7.0
4,Octopus Energy Germany,3.0,52.0
5,Octopus Energy Germany,2.0,9.0
5,Octopus Energy Germany,5.0,30.0
5,Octopus Energy Germany,7.0,24.0
5,Octopus Energy Germany,2.0,8.0
5,Octopus Energy Germany,4.0,12.0
5,Octopus Energy Germany,3.0,8.0
5,Octopus Energy Germany,7.0,30.0
5,Octopus Energy Germany,3.0,8.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,4.0,12.0
5,Octopus Energy Germany,2.0,14.0
5,Octopus Energy Germany,2.0,12.0
5,Octopus Energy Germany,6.0,8.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,4.0,5.0
5,Octopus Energy Germany,3.0,11.0
5,Octopus Energy Germany,4.0,0.0
1,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,2.0,9.0
5,Octopus Energy Germany,2.0,0.0
4,Octopus Energy Germany,2.0,9.0
5,Octopus Energy Germany,1.0,12.0
4,Octopus Energy Germany,3.0,42.0
3,Octopus Energy Germany,4.0,74.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,1.0,12.0
4,Octopus Energy Germany,6.0,0.0
5,Octopus Energy Germany,7.0,23.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,1.0,5.0
5,Octopus Energy Germany,3.0,8.0
5,Octopus Energy Germany,5.0,11.0
5,Octopus Energy Germany,4.0,6.0
5,Octopus Energy Germany,4.0,7.0
5,Octopus Energy Germany,5.0,35.0
5,Octopus Energy Germany,1.0,4.0
4,Octopus Energy Germany,2.0,21.0
5,Octopus Energy Germany,2.0,15.0
5,Octopus Energy Germany,3.0,0.0
4,Octopus Energy Germany,3.0,9.0
5,Octopus Energy Germany,4.0,12.0
5,Octopus Energy Germany,2.0,8.0
1,Octopus Energy Germany,7.0,27.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,1.0,13.0
5,Octopus Energy Germany,6.0,8.0
5,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,3.0,23.0
5,Octopus Energy Germany,1.0,4.0
5,Octopus Energy Germany,5.0,21.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,4.0,18.0
5,Octopus Energy Germany,2.0,22.0
5,Octopus Energy Germany,5.0,31.0
5,Octopus Energy Germany,2.0,18.0
5,Octopus Energy Germany,5.0,18.0
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,1.0,10.0
5,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,3.0,11.0
5,Octopus Energy Germany,2.0,7.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,9.0,10.0
5,Octopus Energy Germany,5.0,0.0
4,Octopus Energy Germany,5.0,13.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,6.0,0.0
5,Octopus Energy Germany,4.0,13.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,2.0,9.0
3,Octopus Energy Germany,3.0,72.0
4,Octopus Energy Germany,5.0,11.0
5,Octopus Energy Germany,5.0,10.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,3.0,10.0
5,Octopus Energy Germany,3.0,32.0
4,Octopus Energy Germany,6.0,25.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,2.0,15.0
5,Octopus Energy Germany,4.0,22.0
5,Octopus Energy Germany,3.0,23.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,4.0,32.0
5,Octopus Energy Germany,8.0,16.0
5,Octopus Energy Germany,4.0,5.0
5,Octopus Energy Germany,6.0,46.0
5,Octopus Energy Germany,3.0,17.0
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,5.0,22.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,7.0,21.0
5,Octopus Energy Germany,6.0,8.0
5,Octopus Energy Germany,6.0,0.0
5,Octopus Energy Germany,1.0,4.0
5,Octopus Energy Germany,3.0,19.0
4,Octopus Energy Germany,3.0,7.0
4,Octopus Energy Germany,5.0,11.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,5.0,7.0
5,Octopus Energy Germany,3.0,11.0
5,Octopus Energy Germany,4.0,16.0
5,Octopus Energy Germany,9.0,71.0
5,Octopus Energy Germany,2.0,3.0
5,Octopus Energy Germany,1.0,10.0
5,Octopus Energy Germany,3.0,4.0
5,Octopus Energy Germany,1.0,4.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,3.0,8.0
4,Octopus Energy Germany,4.0,10.0
5,Octopus Energy Germany,5.0,29.0
5,Octopus Energy Germany,1.0,3.0
5,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,4.0,8.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,4.0,5.0
5,Octopus Energy Germany,2.0,4.0
2,Octopus Energy Germany,4.0,69.0
5,Octopus Energy Germany,6.0,12.0
4,Octopus Energy Germany,3.0,32.0
5,Octopus Energy Germany,1.0,14.0
5,Octopus Energy Germany,2.0,28.0
5,Octopus Energy Germany,2.0,29.0
3,Octopus Energy Germany,2.0,10.0
5,Octopus Energy Germany,1.0,41.0
4,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,2.0,3.0
1,Octopus Energy Germany,5.0,102.0
5,Octopus Energy Germany,3.0,7.0
5,Octopus Energy Germany,5.0,17.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,5.0,9.0
4,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,3.0,24.0
5,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,5.0,13.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,5.0,20.0
5,Octopus Energy Germany,3.0,6.0
5,Octopus Energy Germany,2.0,3.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,4.0,34.0
5,Octopus Energy Germany,3.0,38.0
4,Octopus Energy Germany,1.0,6.0
5,Octopus Energy Germany,3.0,6.0
5,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,5.0,21.0
5,Octopus Energy Germany,2.0,15.0
5,Octopus Energy Germany,4.0,4.0
5,Octopus Energy Germany,5.0,14.0
5,Octopus Energy Germany,1.0,15.0
5,Octopus Energy Germany,4.0,9.0
4,Octopus Energy Germany,2.0,29.0
4,Octopus Energy Germany,2.0,21.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,5.0,8.0
5,Octopus Energy Germany,4.0,14.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,10.0,18.0
5,Octopus Energy Germany,3.0,15.0
5,Octopus Energy Germany,6.0,13.0
5,Octopus Energy Germany,3.0,3.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,5.0,27.0
5,Octopus Energy Germany,2.0,3.0
5,Octopus Energy Germany,10.0,33.0
5,Octopus Energy Germany,3.0,9.0
3,Octopus Energy Germany,5.0,25.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,3.0,6.0
5,Octopus Energy Germany,4.0,7.0
5,Octopus Energy Germany,1.0,2.0
5,Octopus Energy Germany,3.0,14.0
5,Octopus Energy Germany,3.0,3.0
3,Octopus Energy Germany,2.0,38.0
4,Octopus Energy Germany,4.0,11.0
5,Octopus Energy Germany,3.0,16.0
5,Octopus Energy Germany,6.0,22.0
5,Octopus Energy Germany,10.0,28.0
5,Octopus Energy Germany,1.0,4.0
5,Octopus Energy Germany,3.0,6.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,4.0,13.0
4,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,3.0,6.0
5,Octopus Energy Germany,5.0,28.0
5,Octopus Energy Germany,5.0,102.0
4,Octopus Energy Germany,5.0,22.0
4,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,1.0,11.0
5,Octopus Energy Germany,1.0,58.0
5,Octopus Energy Germany,5.0,6.0
5,Octopus Energy Germany,3.0,11.0
5,Octopus Energy Germany,5.0,6.0
5,Octopus Energy Germany,4.0,17.0
5,Octopus Energy Germany,2.0,15.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,5.0,6.0
4,Octopus Energy Germany,1.0,2.0
5,Octopus Energy Germany,4.0,17.0
5,Octopus Energy Germany,2.0,13.0
5,Octopus Energy Germany,2.0,8.0
4,Octopus Energy Germany,4.0,7.0
5,Octopus Energy Germany,3.0,3.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,1.0,12.0
4,Octopus Energy Germany,2.0,7.0
5,Octopus Energy Germany,3.0,11.0
5,Octopus Energy Germany,7.0,11.0
5,Octopus Energy Germany,1.0,11.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,3.0,15.0
5,Octopus Energy Germany,1.0,10.0
5,Octopus Energy Germany,1.0,4.0
4,Octopus Energy Germany,2.0,12.0
5,Octopus Energy Germany,3.0,8.0
5,Octopus Energy Germany,4.0,0.0
4,Octopus Energy Germany,1.0,29.0
5,Octopus Energy Germany,1.0,14.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,3.0,5.0
1,Octopus Energy Germany,4.0,102.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,3.0,26.0
5,Octopus Energy Germany,4.0,12.0
5,Octopus Energy Germany,5.0,100.0
5,Octopus Energy Germany,2.0,3.0
5,Octopus Energy Germany,2.0,11.0
5,Octopus Energy Germany,5.0,15.0
5,Octopus Energy Germany,3.0,10.0
5,Octopus Energy Germany,5.0,13.0
4,Octopus Energy Germany,6.0,25.0
1,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,6.0,13.0
5,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,5.0,13.0
5,Octopus Energy Germany,1.0,4.0
5,Octopus Energy Germany,5.0,22.0
1,Octopus Energy Germany,8.0,22.0
5,Octopus Energy Germany,2.0,7.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,7.0,16.0
4,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,5.0,43.0
5,Octopus Energy Germany,4.0,5.0
5,Octopus Energy Germany,4.0,9.0
5,Octopus Energy Germany,2.0,15.0
4,Octopus Energy Germany,5.0,11.0
5,Octopus Energy Germany,4.0,5.0
5,Octopus Energy Germany,5.0,6.0
5,Octopus Energy Germany,6.0,21.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,4.0,40.0
4,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,3.0,12.0
5,Octopus Energy Germany,4.0,36.0
5,Octopus Energy Germany,3.0,11.0
5,Octopus Energy Germany,4.0,7.0
4,Octopus Energy Germany,1.0,14.0
5,Octopus Energy Germany,3.0,31.0
5,Octopus Energy Germany,4.0,5.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,2.0,3.0
5,Octopus Energy Germany,5.0,9.0
4,Octopus Energy Germany,4.0,39.0
5,Octopus Energy Germany,2.0,9.0
3,Octopus Energy Germany,3.0,17.0
5,Octopus Energy Germany,7.0,44.0
5,Octopus Energy Germany,4.0,6.0
5,Octopus Energy Germany,6.0,34.0
5,Octopus Energy Germany,2.0,11.0
5,Octopus Energy Germany,6.0,15.0
5,Octopus Energy Germany,4.0,16.0
4,Octopus Energy Germany,5.0,19.0
5,Octopus Energy Germany,7.0,6.0
5,Octopus Energy Germany,3.0,13.0
5,Octopus Energy Germany,6.0,53.0
5,Octopus Energy Germany,7.0,102.0
1,Octopus Energy Germany,6.0,89.0
5,Octopus Energy Germany,5.0,39.0
5,Octopus Energy Germany,7.0,16.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,2.0,53.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,1.0,7.0
5,Octopus Energy Germany,3.0,0.0
4,Octopus Energy Germany,5.0,11.0
5,Octopus Energy Germany,2.0,8.0
5,Octopus Energy Germany,4.0,6.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,5.0,16.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,3.0,7.0
5,Octopus Energy Germany,5.0,10.0
5,Octopus Energy Germany,5.0,35.0
5,Octopus Energy Germany,2.0,13.0
4,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,2.0,3.0
5,Octopus Energy Germany,9.0,97.0
5,Octopus Energy Germany,7.0,14.0
5,Octopus Energy Germany,3.0,7.0
5,Octopus Energy Germany,2.0,12.0
5,Octopus Energy Germany,6.0,39.0
5,Octopus Energy Germany,7.0,83.0
5,Octopus Energy Germany,7.0,8.0
5,Octopus Energy Germany,4.0,10.0
3,Octopus Energy Germany,5.0,11.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,2.0,3.0
5,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,6.0,15.0
5,Octopus Energy Germany,4.0,20.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,2.0,16.0
4,Octopus Energy Germany,7.0,15.0
5,Octopus Energy Germany,2.0,10.0
5,Octopus Energy Germany,1.0,7.0
5,Octopus Energy Germany,3.0,9.0
5,Octopus Energy Germany,4.0,24.0
5,Octopus Energy Germany,1.0,3.0
5,Octopus Energy Germany,2.0,7.0
5,Octopus Energy Germany,2.0,7.0
5,Octopus Energy Germany,5.0,65.0
5,Octopus Energy Germany,3.0,17.0
4,Octopus Energy Germany,3.0,7.0
5,Octopus Energy Germany,3.0,7.0
5,Octopus Energy Germany,4.0,25.0
5,Octopus Energy Germany,6.0,0.0
5,Octopus Energy Germany,1.0,2.0
5,Octopus Energy Germany,1.0,8.0
5,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,4.0,17.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,3.0,12.0
5,Octopus Energy Germany,6.0,27.0
4,Octopus Energy Germany,6.0,22.0
5,Octopus Energy Germany,4.0,36.0
5,Octopus Energy Germany,5.0,6.0
5,Octopus Energy Germany,7.0,10.0
4,Octopus Energy Germany,3.0,8.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,1.0,7.0
5,Octopus Energy Germany,2.0,7.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,2.0,11.0
5,Octopus Energy Germany,5.0,45.0
5,Octopus Energy Germany,2.0,9.0
4,Octopus Energy Germany,5.0,7.0
5,Octopus Energy Germany,4.0,16.0
5,Octopus Energy Germany,3.0,17.0
4,Octopus Energy Germany,5.0,6.0
5,Octopus Energy Germany,4.0,32.0
5,Octopus Energy Germany,4.0,27.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,3.0,9.0
4,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,4.0,0.0
